City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Cloudiness Numberical,Wind Speed,Country,Date
138,bom jardim,-7.7958,-35.5872,81.21,64,overcast clouds,100,15.1,BR,2025-03-06 15:17:14
139,fiambala,-27.6871,-67.6149,89.82,34,clear sky,0,15.43,AR,2025-03-06 15:17:15
140,utrik,11.2278,169.8474,80.28,81,light rain,1,25.21,MH,2025-03-06 15:17:16
141,dedougou,12.4667,-3.4667,91.63,28,light rain,100,4.14,BF,2025-03-06 15:12:23
142,constitucion,-35.3333,-72.4167,67.39,80,overcast clouds,100,7.36,CL,2025-03-06 15:17:18
143,arhribs,36.7936,4.3116,52.93,83,broken clouds,79,4.32,DZ,2025-03-06 15:17:20
144,progreso,21.2833,-89.6667,77.97,54,clear sky,0,15.12,MX,2025-03-06 15:17:21
145,dunedin,-45.8742,170.5036,53.8,97,overcast clouds,100,7.0,NZ,2025-03-06 15:17:23
146,ust-nera,64.5667,143.2,-22.02,100,overcast clouds,100,2.24,RU,2025-03-06 15:17:24
147,saldanha,-33.0117,17.9442,64.83,91,clear sky,0,15.28,ZA,2025-03-06 15:17:25
148,thinadhoo,0.5333,72.9333,81.93,72,clear sky,3,3.42,MV,2025-03-06 15:17:26
149,benguela,-12.5763,13.4055,80.94,79,light rain,100,7.38,AO,2025-03-06 15:17:27
150,taber,49.8167,-112.1518,42.58,47,clear sky,9,8.5,CA,2025-03-06 15:17:28
151,suzun,53.7841,82.3116,29.8,97,snow,100,12.75,RU,2025-03-06 15:17:29
152,la foa,-21.7108,165.8276,76.59,83,clear sky,9,4.61,NC,2025-03-06 15:17:30
153,colonia,50.9333,6.95,55.96,41,clear sky,0,10.36,DE,2025-03-06 15:17:33
154,ad dawadimi,24.5077,44.3924,63.75,73,light rain,100,2.44,SA,2025-03-06 15:16:57
155,ponta delgada,37.7333,-25.6667,54.95,66,broken clouds,54,28.74,PT,2025-03-06 15:17:35
156,sastobe,42.55,70.0,42.26,66,overcast clouds,100,15.17,KZ,2025-03-06 15:17:36
157,bontang,0.1333,117.5,78.12,87,overcast clouds,100,7.94,ID,2025-03-06 15:17:37
158,natal,-5.795,-35.2094,83.05,74,few clouds,20,11.5,BR,2025-03-06 15:16:07
159,meizhou,24.2977,116.1072,49.28,89,overcast clouds,100,3.85,CN,2025-03-06 15:17:40
160,leava,-14.3,-178.1667,82.96,75,overcast clouds,95,17.4,WF,2025-03-06 15:17:41
161,hasaki,35.7333,140.8333,44.96,49,overcast clouds,96,27.54,JP,2025-03-06 15:17:37
162,pamandzi,-12.7967,45.2794,83.98,79,clear sky,0,5.75,YT,2025-03-06 15:17:43
163,talnakh,69.4865,88.3972,8.26,96,light snow,100,3.85,RU,2025-03-06 15:17:44
164,carnarvon,-24.8667,113.6333,79.88,65,scattered clouds,50,20.8,AU,2025-03-06 15:17:45
165,fort st. john,56.2499,-120.8529,42.69,45,broken clouds,75,13.8,CA,2025-03-06 15:17:46
166,grand falls-windsor,48.9332,-55.6649,32.5,92,overcast clouds,100,4.0,CA,2025-03-06 15:14:00
167,yokadouma,3.5167,15.05,75.92,78,overcast clouds,99,2.75,CM,2025-03-06 15:17:49
168,havre,49.5833,0.3333,56.97,54,clear sky,0,10.36,FR,2025-03-06 15:17:50
169,coquimbo,-29.9533,-71.3436,69.53,62,few clouds,20,14.97,CL,2025-03-06 15:17:51
170,chongwe,-15.3292,28.682,66.18,97,broken clouds,74,4.16,ZM,2025-03-06 15:17:52
171,price,39.5994,-110.8107,38.46,93,overcast clouds,100,14.97,US,2025-03-06 15:17:53
172,tafresh,34.692,50.013,41.02,77,overcast clouds,98,0.6,IR,2025-03-06 15:17:54
173,hermanus,-34.4187,19.2345,59.81,85,clear sky,0,3.4,ZA,2025-03-06 15:15:54
174,road town,18.4167,-64.6167,77.04,88,broken clouds,75,10.36,VG,2025-03-06 15:17:57
175,hadibu,12.65,54.0333,76.33,81,few clouds,23,9.71,YE,2025-03-06 15:17:58
176,hamilton,39.1834,-84.5333,44.92,54,broken clouds,75,19.57,US,2025-03-06 15:17:59
177,la mira,18.035,-102.3266,82.72,55,clear sky,0,10.58,MX,2025-03-06 15:18:01
178,mata-utu,-13.2816,-176.1745,82.54,75,light rain,97,13.09,WF,2025-03-06 15:18:02
179,st. john's,47.5649,-52.7093,33.15,94,light snow,100,17.27,CA,2025-03-06 15:18:03
180,avarua,-21.2078,-159.775,82.45,89,light rain,75,4.61,CK,2025-03-06 15:18:05
181,touros,-5.1989,-35.4608,81.97,72,overcast clouds,100,16.42,BR,2025-03-06 15:18:06
182,viedma,-40.8135,-62.9967,83.35,54,overcast clouds,100,18.19,AR,2025-03-06 15:15:24
183,nabire,-3.3667,135.4833,73.69,92,overcast clouds,99,3.13,ID,2025-03-06 15:18:08
184,puerto ayacucho,5.6639,-67.6236,94.64,39,broken clouds,84,4.38,VE,2025-03-06 15:18:10
185,gadzhiyevo,69.2551,33.3362,20.71,95,overcast clouds,98,5.12,RU,2025-03-06 15:18:11
186,morehead city,34.7229,-76.726,54.01,49,broken clouds,57,11.01,US,2025-03-06 15:13:38
187,bocas del toro,9.3333,-82.25,80.46,72,broken clouds,53,6.15,PA,2025-03-06 15:18:14
188,flying fish cove,-10.4217,105.6791,80.28,94,overcast clouds,100,3.44,CX,2025-03-06 15:18:15
189,uchiza,-8.4592,-76.4633,76.28,94,overcast clouds,100,1.99,PE,2025-03-06 15:18:16
190,yazykovo,55.2199,56.1353,14.27,99,overcast clouds,100,3.49,RU,2025-03-06 15:18:17
191,kailua-kona,19.6406,-155.9956,79.56,79,haze,40,8.05,US,2025-03-06 15:18:18
192,sarpol-e zahab,34.4611,45.8626,56.75,58,clear sky,0,5.55,IR,2025-03-06 15:18:19
193,santa rosa misiones,-26.8667,-56.85,95.7,31,scattered clouds,46,11.16,PY,2025-03-06 15:18:20
194,petropavlovsk-kamchatsky,53.0452,158.6483,5.59,56,broken clouds,75,4.47,RU,2025-03-06 15:18:21
195,serov,59.6033,60.5787,10.94,97,overcast clouds,99,4.03,RU,2025-03-06 15:18:22
